,원자력,석탄,LNG,신재생,유류,양수,기타,계
서울  Seoul, - , - ,"4,625,854","413,218", - , - ,"83,104","5,122,176"
부산  Busan,"33,757,935","21,450","6,391,249","339,967", - , - ,"136,778","40,647,380"
대구  Daegu, - ,"2,355","2,352,814","136,458","76,469", - ,548,"2,568,644"
인천  Incheon, - ,"32,031,780","23,592,635","1,374,643","119,116", - ,"17,453","57,135,627"
광주  Gwangju, - , - ,"350,000","242,293", - , - ,"17,257","609,551"
대전  Daejeon, - , - ,"90,363","45,447","32,023", - ,0,"167,834"
울산  Ulsan,"18,996,979", - ,"8,969,184","85,032","1,503,944", - ,"253,534","29,808,674"
세종  Sejong, - , - ,"3,412,958","123,238", - , - ,"16,371","3,552,567"
경기  Gyeonggi, - ,"1,464,744","66,960,619","3,629,612","27,551","296,871","133,264","72,512,661"
강원  Gwangju, - ,"19,543,880","2,889,126","4,459,606", - ,"904,284","78,151","27,875,047"
충북  Chungbuk, - , - , - ,"1,905,825","126,255", - ,"189,070","2,221,149"
충남  Chungnam, - ,"95,984,919","8,109,385","6,396,083","10,249", - ,"3,603,301","114,103,936"
전북  Jeonbuk, - ,"6,224,560","1,451,390","3,881,249","14,488","604,280","423,562","12,599,529"
전남  Jeonnam,"28,801,038","9,056,038","13,990,004","4,565,263","54,796", - ,"1,749,966","58,217,106"
경북  Gyeongbuk,"78,627,770","909,070","2,061,056","3,399,629","64,704","669,952","133,396","85,865,577"
경남  Gyeongnam, - ,"32,862,573", - ,"1,566,958","83,392","795,633","24,318","35,332,874"
제주  Jeju, - , - ,"937,091","2,369,215","207,979", - ,"307,542","3,821,827"
총계  Total,"160,183,721","198,101,369","146,183,729","34,933,738","2,320,967","3,271,019","7,167,616","552,162,160"
