,수력,태양광,풍력,바이오,기타,계
서울  Seoul,"1,112 ","49,316 ", - ,"27,749 ","335,040 ","413,218 "
부산  Busan,93 ,"138,134 ","8,691 ","9,827 ","183,222 ","339,967 "
대구  Daegu,"12,951 ","103,316 ", - ,"14,688 ","5,502 ","136,458 "
인천  Incheon,"39,546 ","101,759 ","52,639 ","228,842 ","951,857 ","1,374,643 "
광주  Gwangju,"7,795 ","229,720 ", - ,"4,779 ", - ,"242,293 "
대전  Daejeon, - ,"37,648 ", - , - ,"7,799 ","45,447 "
울산  Ulsan,"1,457 ","70,328 ","1,500 ", - ,"11,747 ","85,032 "
세종  Sejong, - ,"57,696 ", - ,"25,878 ","39,664 ","123,238 "
경기  Gyeonggi,"648,370 ","1,000,209 ","5,573 ","294,247 ","1,681,213 ","3,629,612 "
강원  Gwangju,"1,062,271 ","1,251,786 ","780,223 ","1,321,304 ","44,022 ","4,459,606 "
충북  Chungbuk,"1,010,026 ","889,012 ", - ,"6,787 ", - ,"1,905,825 "
충남  Chungnam,"61,499 ","2,273,346 ","2,942 ","1,224,278 ","2,834,019 ","6,396,083 "
전북  Jeonbuk,"285,784 ","3,035,421 ","131,169 ","420,867 ","8,008 ","3,881,249 "
전남  Jeonnam,"114,120 ","3,712,154 ","564,564 ","7,679 ","166,746 ","4,565,263 "
경북  Gyeongbuk,"319,014 ","2,104,122 ","943,247 ","5,399 ","27,846 ","3,399,629 "
경남  Gyeongnam,"310,046 ","1,143,151 ","72,537 ","22,987 ","18,238 ","1,566,958 "
제주  Jeju,"3,145 ","413,801 ","576,396 ","1,375,866 ",6 ,"2,369,215 "
총계  Total,"3,877,230 ","16,610,919 ","3,139,482 ","4,991,178 ","6,314,929 ","34,933,738 "
